tbb scaling Probe, 63, TimeStep, 1
 2.39704, 2
 2.66852, 3
 3.59666, 4
 2.24203, 0
 2.37734, 1
 2.42707, 2
 2.71145, 3
 3.67856, 4
 2.4581, 0
 2.36189, 1
 2.45348, 2
 2.74521, 3
 3.73777, 4
 2.33788, 0
 2.32216, 1
 2.58231, 2
 2.73303, 3
 3.62284, 4
tbb scaling Probe, 63, TimeStep, 13
 2.61159, 0
 2.29467, 1
 2.3931, 2
 2.66733, 3
 3.58727, 4
 2.35969, 0
 2.29268, 1
 2.39089, 2
 2.67165, 3
 3.75577, 4
 2.49472, 0
 2.33746, 1
 2.43629, 2
 2.72265, 3
 3.67567, 4
 2.2374, 0
 2.32493, 1
 2.42781, 2
 2.70847, 3
 3.74788, 4
 2.34789, 0
 2.39758, 1
 2.39208, 2
 2.67306, 3
 3.59235, 4
tbb scaling Probe, 63, TimeStep, 14
 2.2095, 0
 2.29334, 1
 2.40601, 2
 2.6617, 3
 3.60112, 4
 2.21073, 0
 2.34447, 1
 2.47396, 2
 2.66852, 3
 3.58648, 4
 2.22768, 0
 2.36237, 1
 2.40849, 2
 2.68883, 3
 3.63116, 4
 2.24852, 0
 2.3503, 1
 2.43546, 2
 2.73957, 3
 3.75631, 4
 2.53589, 0
 2.37922, 1
 2.65153, 2
 2.72849, 3
 3.68183, 4
tbb scaling Probe, 63, TimeStep, 15
 2.31269, 0
 2.31948, 1
 2.39862, 2
 2.80903, 3
 3.56607, 4
 2.40081, 0
 2.33243, 1
 2.42784, 2
 2.77156, 3
 3.64466, 4
 2.52124, 0
 2.3324, 1
 2.45481, 2
 2.70519, 3
 3.64774, 4
 2.21584, 0
 2.29816, 1
 2.39739, 2
 2.67334, 3
 3.64813, 4
 2.33182, 0
 2.42423, 1
 2.50423, 2
 2.93404, 3
 4.11298, 4
tbb scaling Probe, 63, TimeStep, 16
 2.34605, 0
 2.18256, 1
 2.09886, 2
 2.08209, 3
 2.84379, 4
 1.70661, 0
 1.7686, 1
 1.88782, 2
 2.1727, 3
 2.78614, 4
 2.01691, 0
 2.10031, 1
 2.18818, 2
 2.79138, 3
 3.18963, 4
 1.97929, 0
 1.79241, 1
 1.91521, 2
 2.09032, 3
 2.9157, 4
 2.16404, 0
 2.12001, 1
 2.17378, 2
 2.40788, 3
 3.12674, 4
tbb scaling Probe, 63, TimeStep, 17
 1.96809, 0
 2.16358, 1
 2.02383, 2
 2.22729, 3
 3.1074, 4
 2.01508, 0
 2.05523, 1
 2.06194, 2
 2.32955, 3
 3.42274, 4
 1.93068, 0
 1.95883, 1
 2.23308, 2
 2.70649, 3
 3.6529, 4
 2.2149, 0
 2.34091, 1
 2.13217, 2
 2.17645, 3
 2.94924, 4
 2.1993, 0
 2.13877, 1
 2.09307, 2
 2.258, 3
 3.00155, 4
tbb scaling Probe, 63, TimeStep, 18
 1.96789, 0
 2.06083, 1
 2.39799, 2
 2.48811, 3
 3.10449, 4
 2.12521, 0
 2.15764, 1
 2.07879, 2
 2.27199, 3
 3.14168, 4
